"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jun 27 11:46:17 GMT 2022","Mon Jun 27 11:46:18 GMT 2022","785","","TestPortio","","TestPortio","registrationEmptyEverythingTest","Regisztráció üres adatokkal","Regisztráció üres adatokkal"
"passed","Mon Jun 27 11:45:38 GMT 2022","Mon Jun 27 11:45:49 GMT 2022","11002","","TestPortio","","TestPortio","loginEmptyTest","Sikertelen Sign in üres adatokkal","Bejelentkezés üres adatokkal"
"passed","Mon Jun 27 11:45:13 GMT 2022","Mon Jun 27 11:45:38 GMT 2022","25021","","TestPortio","","TestPortio","registerMultipleTest","Sorozatos reisztráció","Sorozatos regisztráció fájlból adatokkal"
"passed","Mon Jun 27 11:44:58 GMT 2022","Mon Jun 27 11:44:59 GMT 2022","792","","TestPortio","","TestPortio","navigateTest","Navigáció az oldalra","Ez a teszt a helyes url címre navigálást fedi le"
"passed","Mon Jun 27 11:45:51 GMT 2022","Mon Jun 27 11:45:53 GMT 2022","1733","","TestPortio","","TestPortio","deleteProfileTest","Profil törlése ellenőrzése","Regisztrált profil törlése az adatbázisból, törlés ellenőrzése"
"passed","Mon Jun 27 11:46:20 GMT 2022","Mon Jun 27 11:46:22 GMT 2022","1426","","TestPortio","","TestPortio","logOutTest","Logout","Kijelentkezés"
"passed","Mon Jun 27 11:44:59 GMT 2022","Mon Jun 27 11:45:12 GMT 2022","12913","","TestPortio","","TestPortio","blogTest","Blog oldal lista lapozás ellenőrzése","Blog összes bejegyzés lapozás"
"passed","Mon Jun 27 11:46:05 GMT 2022","Mon Jun 27 11:46:16 GMT 2022","10979","","TestPortio","","TestPortio","loginWrongUserTest","Sikertelen Sign in helytelen username-el","Bejelentkezés helytelen felhasználóvévvel"
"passed","Mon Jun 27 11:46:16 GMT 2022","Mon Jun 27 11:46:17 GMT 2022","991","","TestPortio","","TestPortio","loginWrongPasswordTest","Sikertelen Sign in helytelen passworddel","Bejelentkezés helytelen jelszóval"
"passed","Mon Jun 27 11:44:58 GMT 2022","Mon Jun 27 11:44:58 GMT 2022","578","","TestPortio","","TestPortio","termsAndConditionsClickToSideTest","Terms and conditions ablakon kívül kattintás","Azt teszteli, hogy eltűnik-e a Terms and conditions ablak, ha azon kívülre kattintunk"
"passed","Mon Jun 27 11:46:18 GMT 2022","Mon Jun 27 11:46:20 GMT 2022","1353","","TestPortio","","TestPortio","h3HeadingFontTest","h3 Heading szövegstílus ellenőrzése","Az oldalon konzisztens a  h3 heading-ek szövegstílusa, betűtípusa"
"passed","Mon Jun 27 11:45:53 GMT 2022","Mon Jun 27 11:46:05 GMT 2022","12976","","TestPortio","","TestPortio","blogTitlesToFileTest","Blog oldal tartalom ellenőrzése","Blog összes bejegyzés cím ellenőrzése"
"passed","Mon Jun 27 11:46:22 GMT 2022","Mon Jun 27 11:46:23 GMT 2022","1540","","TestPortio","","TestPortio","deleteProfileLogoutTest","Profil törlése automatikus kijelentkezés","Regisztrált profil törlése az adatbázisból, automatikus kijelentkezés ellenőrzése"
"passed","Mon Jun 27 11:45:49 GMT 2022","Mon Jun 27 11:45:50 GMT 2022","864","","TestPortio","","TestPortio","registrationTest","Regisztráció helyes adatok kitöltésével","Regisztráció az összes adat helyes kitöltésével"
"passed","Mon Jun 27 11:46:23 GMT 2022","Mon Jun 27 11:46:24 GMT 2022","1399","","TestPortio","","TestPortio","h2HeadingFontTest","h2 Heading szövegstílus ellenőrzése","Az oldalon konzisztens a  h2 heading-ek szövegstílusa, betűtípusa"
"passed","Mon Jun 27 11:46:20 GMT 2022","Mon Jun 27 11:46:20 GMT 2022","460","","TestPortio","","TestPortio","termsAndConditionsExitTest","Terms and Conditions kilépés","A Terms and conditions kilépés gombjának megnyomása"
"failed","Mon Jun 27 11:44:55 GMT 2022","Mon Jun 27 11:44:57 GMT 2022","1683","","TestPortio","","TestPortio","registrationEmptyDescriptionTest","Regisztráció Description mező üresen hagyva","Regisztráció helyes adatokkal, a Description mező üresen hagyva"
"passed","Mon Jun 27 11:44:57 GMT 2022","Mon Jun 27 11:44:58 GMT 2022","832","","TestPortio","","TestPortio","termsAndConditionsMainTextTest","Terms and Conditions szöveg tartalma","A Terms and conditions szöveg tartalmának ellenőrzése, összehasonlítás egy .txt fájllal"
"passed","Mon Jun 27 11:45:50 GMT 2022","Mon Jun 27 11:45:51 GMT 2022","530","","TestPortio","","TestPortio","termsAndConditionsAcceptTest","Terms and Conditions elfogadása","A Terms and conditions elfogadása"
"passed","Mon Jun 27 11:45:12 GMT 2022","Mon Jun 27 11:45:13 GMT 2022","1460","","TestPortio","","TestPortio","loginSuccessfulTest","Sikeres Sign in helyes adatokkal","Bejelentkezés a regisztrációnál megadottakkal egyező adatokkal"
