"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 20 22:19:56 GMT 2022","Mon Jun 20 22:20:10 GMT 2022","13134","","TestPortio","","TestPortio","blogTitlesToFileTest","Blog oldal tartalom ellenőrzése","Blog összes bejegyzés cím ellenőrzése"
"passed","Mon Jun 20 22:19:00 GMT 2022","Mon Jun 20 22:19:02 GMT 2022","1620","","TestPortio","","TestPortio","headingFontTest","Heading szövegstílus ellenőrzése","Az oldalon konzisztens a heading-ek szövegstílusa, betűtípusa"
"passed","Mon Jun 20 22:20:23 GMT 2022","Mon Jun 20 22:20:25 GMT 2022","1581","","TestPortio","","TestPortio","logOutTest","Logout","Kijelentkezés"
"passed","Mon Jun 20 22:18:59 GMT 2022","Mon Jun 20 22:18:59 GMT 2022","610","","TestPortio","","TestPortio","termsAndConditionsClickToSideTest","Terms and conditions ablakon kívül kattintás","Azt teszteli, hogy eltűnik-e a Terms and conditions ablak, ha azon kívülre kattintunk"
"passed","Mon Jun 20 22:19:16 GMT 2022","Mon Jun 20 22:19:42 GMT 2022","26037","","TestPortio","","TestPortio","registerMultipleTest","Sorozatos reisztráció","Sorozatos regisztráció fájlból adatokkal"
"failed","Mon Jun 20 22:18:58 GMT 2022","Mon Jun 20 22:18:59 GMT 2022","632","","TestPortio","","TestPortio","termsAndConditionsMainTextTest","Terms and Conditions szöveg tartalma","A Terms and conditions szöveg tartalmának ellenőrzése, összehasonlítás egy .txt fájllal"
"passed","Mon Jun 20 22:19:02 GMT 2022","Mon Jun 20 22:19:15 GMT 2022","13016","","TestPortio","","TestPortio","blogTest","Blog oldal lista lapozás ellenőrzése","Blog összes bejegyzés lapozás"
"passed","Mon Jun 20 22:19:54 GMT 2022","Mon Jun 20 22:19:55 GMT 2022","507","","TestPortio","","TestPortio","termsAndConditionsAcceptTest","Terms and Conditions elfogadása","A Terms and conditions elfogadása"
"passed","Mon Jun 20 22:19:55 GMT 2022","Mon Jun 20 22:19:56 GMT 2022","1872","","TestPortio","","TestPortio","deleteProfileTest","Profil törlése ellenőrzése","Regisztrált profil törlése az adatbázisból, törlés ellenőrzése"
"passed","Mon Jun 20 22:19:42 GMT 2022","Mon Jun 20 22:19:53 GMT 2022","11101","","TestPortio","","TestPortio","loginEmptyTest","Sikertelen Sign in üres adatokkal","Bejelentkezés üres adatokkal"
"failed","Mon Jun 20 22:20:22 GMT 2022","Mon Jun 20 22:20:23 GMT 2022","848","","TestPortio","","TestPortio","registrationEmptyEverythingTest","Regisztráció üres adatokkal","Regisztráció üres adatokkal"
"passed","Mon Jun 20 22:18:59 GMT 2022","Mon Jun 20 22:19:00 GMT 2022","512","","TestPortio","","TestPortio","navigateTest","Navigáció az oldalra","Ez a teszt a helyes url címre navigálást fedi le"
"passed","Mon Jun 20 22:19:53 GMT 2022","Mon Jun 20 22:19:54 GMT 2022","871","","TestPortio","","TestPortio","registrationTest","Regisztráció helyes adatok kitöltésével","Regisztráció az összes adat helyes kitöltésével"
"passed","Mon Jun 20 22:20:23 GMT 2022","Mon Jun 20 22:20:23 GMT 2022","516","","TestPortio","","TestPortio","termsAndConditionsExitTest","Terms and Conditions kilépés","A Terms and conditions kilépés gombjának megnyomása"
"passed","Mon Jun 20 22:20:21 GMT 2022","Mon Jun 20 22:20:22 GMT 2022","1015","","TestPortio","","TestPortio","loginWrongPasswordTest","Sikertelen Sign in helytelen passworddel","Bejelentkezés helytelen jelszóval"
"passed","Mon Jun 20 22:20:25 GMT 2022","Mon Jun 20 22:20:26 GMT 2022","1615","","TestPortio","","TestPortio","deleteProfileLogoutTest","Profil törlése automatikus kijelentkezés","Regisztrált profil törlése az adatbázisból, automatikus kijelentkezés ellenőrzése"
"passed","Mon Jun 20 22:19:15 GMT 2022","Mon Jun 20 22:19:16 GMT 2022","1509","","TestPortio","","TestPortio","loginSuccessfulTest","Sikeres Sign in helyes adatokkal","Bejelentkezés a regisztrációnál megadottakkal egyező adatokkal"
"passed","Mon Jun 20 22:20:10 GMT 2022","Mon Jun 20 22:20:21 GMT 2022","11142","","TestPortio","","TestPortio","loginWrongUserTest","Sikertelen Sign in helytelen username-el","Bejelentkezés helytelen felhasználóvévvel"
"failed","Mon Jun 20 22:18:56 GMT 2022","Mon Jun 20 22:18:58 GMT 2022","1926","","TestPortio","","TestPortio","registrationEmptyDescriptionTest","Regisztráció Description mező üresen hagyva","Regisztráció helyes adatokkal, a Description mező üresen hagyva"
