"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 02 13:33:30 GMT 2022","Sat Jul 02 13:33:30 GMT 2022","709","","TestInitialPage","","TestInitialPage","navigateTest","Navigáció az oldalra","Ez a teszt a helyes url címre navigálást fedi le"
"passed","Sat Jul 02 13:34:03 GMT 2022","Sat Jul 02 13:34:06 GMT 2022","2065","","TestProfilePage","","TestProfilePage","deleteProfileLogoutTest","Profil törlése automatikus kijelentkezés","Regisztrált profil törlése az adatbázisból, automatikus kijelentkezés ellenőrzése"
"broken","Sat Jul 02 13:32:48 GMT 2022","Sat Jul 02 13:32:49 GMT 2022","582","","TestRegisterPage","","TestRegisterPage","registerEmailMultipleTest","Sorozatos regisztráció invalid email cím","Sorozatos regisztráció különböző, helytelen email címekkel"
"passed","Sat Jul 02 13:32:56 GMT 2022","Sat Jul 02 13:33:01 GMT 2022","4967","","TestLandingPage","","TestLandingPage","h2HeadingFontTest","h2 Heading szövegstílus ellenőrzése","Az oldalon konzisztens a  h2 heading-ek szövegstílusa, betűtípusa"
"passed","Sat Jul 02 13:32:46 GMT 2022","Sat Jul 02 13:32:48 GMT 2022","2348","","TestRegisterPage","","TestRegisterPage","registrationEmptyDescriptionTest","Regisztráció Description mező üresen hagyva","Regisztráció helyes adatokkal, a Description mező üresen hagyva"
"passed","Sat Jul 02 13:32:54 GMT 2022","Sat Jul 02 13:32:56 GMT 2022","2059","","TestLandingPage","","TestLandingPage","logOutTest","Logout","Kijelentkezés"
"passed","Sat Jul 02 13:33:15 GMT 2022","Sat Jul 02 13:33:26 GMT 2022","11560","","TestLoginPage","","TestLoginPage","loginWrongUserTest","Sikertelen Sign in helytelen username-el","Bejelentkezés helytelen felhasználóvévvel"
"passed","Sat Jul 02 13:33:01 GMT 2022","Sat Jul 02 13:33:03 GMT 2022","1841","","TestLoginPage","","TestLoginPage","loginSuccessfulTest","Sikeres Sign in helyes adatokkal","Bejelentkezés a regisztrációnál megadottakkal egyező adatokkal"
"failed","Sat Jul 02 13:33:32 GMT 2022","Sat Jul 02 13:33:35 GMT 2022","2379","","TestPortfolioPage","","TestPortfolioPage","portfolioImagesTest","Képek ellenőrzése","Képek ellenőrzése a Work oldalon"
"passed","Sat Jul 02 13:33:26 GMT 2022","Sat Jul 02 13:33:28 GMT 2022","1596","","TestLoginPage","","TestLoginPage","loginWrongPasswordTest","Sikertelen Sign in helytelen passworddel","Bejelentkezés helytelen jelszóval"
"failed","Sat Jul 02 13:32:51 GMT 2022","Sat Jul 02 13:32:53 GMT 2022","1596","","TestRegisterPage","","TestRegisterPage","registrationEmptyEverythingTest","Regisztráció üres adatokkal","Regisztráció üres adatokkal"
"broken","Sat Jul 02 13:34:06 GMT 2022","Sat Jul 02 13:34:07 GMT 2022","1379","","TestProfilePage","","TestProfilePage","editProfileTest","Profil módosítása","Felhasználói profil módosítása"
"passed","Sat Jul 02 13:33:35 GMT 2022","Sat Jul 02 13:33:48 GMT 2022","13083","","TestBlogPage","","TestBlogPage","blogTest","Blog oldal lista lapozás ellenőrzése","Blog összes bejegyzés lapozás"
"passed","Sat Jul 02 13:32:53 GMT 2022","Sat Jul 02 13:32:54 GMT 2022","1697","","TestLandingPage","","TestLandingPage","narrowWindowTest","Keskeny nézet ellenőrzés","Keskeny nézetben a navBar hamburger menüre vált"
"passed","Sat Jul 02 13:33:30 GMT 2022","Sat Jul 02 13:33:31 GMT 2022","1056","","TestInitialPage","","TestInitialPage","termsAndConditionsAcceptTest","Terms and Conditions elfogadása","A Terms and conditions elfogadása"
"passed","Sat Jul 02 13:33:29 GMT 2022","Sat Jul 02 13:33:30 GMT 2022","780","","TestInitialPage","","TestInitialPage","termsAndConditionsClickToSideTest","Terms and conditions ablakon kívül kattintás","Azt teszteli, hogy eltűnik-e a Terms and conditions ablak, ha azon kívülre kattintunk"
"passed","Sat Jul 02 13:34:01 GMT 2022","Sat Jul 02 13:34:03 GMT 2022","2257","","TestProfilePage","","TestProfilePage","deleteProfileTest","Profil törlése ellenőrzése","Regisztrált profil törlése az adatbázisból, törlés ellenőrzése"
"broken","Sat Jul 02 13:32:49 GMT 2022","Sat Jul 02 13:32:50 GMT 2022","531","","TestRegisterPage","","TestRegisterPage","registerMultipleTest","Sorozatos regisztráció","Sorozatos regisztráció fájlból adatokkal"
"failed","Sat Jul 02 13:33:28 GMT 2022","Sat Jul 02 13:33:29 GMT 2022","743","","TestInitialPage","","TestInitialPage","termsAndConditionsMainTextTest","Terms and Conditions szöveg tartalma","A Terms and conditions szöveg tartalmának ellenőrzése, összehasonlítás egy .txt fájllal"
"passed","Sat Jul 02 13:33:03 GMT 2022","Sat Jul 02 13:33:15 GMT 2022","11679","","TestLoginPage","","TestLoginPage","loginEmptyTest","Sikertelen Sign in üres adatokkal","Bejelentkezés üres adatokkal"
"passed","Sat Jul 02 13:32:50 GMT 2022","Sat Jul 02 13:32:51 GMT 2022","1479","","TestRegisterPage","","TestRegisterPage","registrationTest","Regisztráció helyes adatok kitöltésével","Regisztráció az összes adat helyes kitöltésével"
"passed","Sat Jul 02 13:33:31 GMT 2022","Sat Jul 02 13:33:32 GMT 2022","1019","","TestInitialPage","","TestInitialPage","termsAndConditionsExitTest","Terms and Conditions kilépés","A Terms and conditions kilépés gombjának megnyomása"
"failed","Sat Jul 02 13:33:48 GMT 2022","Sat Jul 02 13:34:01 GMT 2022","13316","","TestBlogPage","","TestBlogPage","blogTitlesToFileTest","Blog oldal tartalom ellenőrzése","Blog összes bejegyzés cím ellenőrzése"
