"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 27 12:54:02 GMT 2022","Mon Jun 27 12:54:13 GMT 2022","10978","","TestPortio","","TestPortio","loginWrongUserTest","Sikertelen Sign in helytelen username-el","Bejelentkezés helytelen felhasználóvévvel"
"passed","Mon Jun 27 12:54:19 GMT 2022","Mon Jun 27 12:54:20 GMT 2022","1357","","TestPortio","","TestPortio","h2HeadingFontTest","h2 Heading szövegstílus ellenőrzése","Az oldalon konzisztens a  h2 heading-ek szövegstílusa, betűtípusa"
"passed","Mon Jun 27 12:54:15 GMT 2022","Mon Jun 27 12:54:16 GMT 2022","458","","TestPortio","","TestPortio","termsAndConditionsExitTest","Terms and Conditions kilépés","A Terms and conditions kilépés gombjának megnyomása"
"passed","Mon Jun 27 12:53:09 GMT 2022","Mon Jun 27 12:53:11 GMT 2022","1322","","TestPortio","","TestPortio","loginSuccessfulTest","Sikeres Sign in helyes adatokkal","Bejelentkezés a regisztrációnál megadottakkal egyező adatokkal"
"passed","Mon Jun 27 12:53:11 GMT 2022","Mon Jun 27 12:53:35 GMT 2022","24131","","TestPortio","","TestPortio","registerMultipleTest","Sorozatos reisztráció","Sorozatos regisztráció fájlból adatokkal"
"passed","Mon Jun 27 12:52:55 GMT 2022","Mon Jun 27 12:52:56 GMT 2022","567","","TestPortio","","TestPortio","termsAndConditionsMainTextTest","Terms and Conditions szöveg tartalma","A Terms and conditions szöveg tartalmának ellenőrzése, összehasonlítás egy .txt fájllal"
"passed","Mon Jun 27 12:52:56 GMT 2022","Mon Jun 27 12:52:56 GMT 2022","492","","TestPortio","","TestPortio","termsAndConditionsClickToSideTest","Terms and conditions ablakon kívül kattintás","Azt teszteli, hogy eltűnik-e a Terms and conditions ablak, ha azon kívülre kattintunk"
"passed","Mon Jun 27 12:53:47 GMT 2022","Mon Jun 27 12:53:49 GMT 2022","1615","","TestPortio","","TestPortio","deleteProfileTest","Profil törlése ellenőrzése","Regisztrált profil törlése az adatbázisból, törlés ellenőrzése"
"passed","Mon Jun 27 12:52:56 GMT 2022","Mon Jun 27 12:52:57 GMT 2022","418","","TestPortio","","TestPortio","navigateTest","Navigáció az oldalra","Ez a teszt a helyes url címre navigálást fedi le"
"passed","Mon Jun 27 12:53:49 GMT 2022","Mon Jun 27 12:54:02 GMT 2022","12855","","TestPortio","","TestPortio","blogTitlesToFileTest","Blog oldal tartalom ellenőrzése","Blog összes bejegyzés cím ellenőrzése"
"passed","Mon Jun 27 12:54:16 GMT 2022","Mon Jun 27 12:54:17 GMT 2022","1374","","TestPortio","","TestPortio","logOutTest","Logout","Kijelentkezés"
"passed","Mon Jun 27 12:54:17 GMT 2022","Mon Jun 27 12:54:19 GMT 2022","1431","","TestPortio","","TestPortio","deleteProfileLogoutTest","Profil törlése automatikus kijelentkezés","Regisztrált profil törlése az adatbázisból, automatikus kijelentkezés ellenőrzése"
"passed","Mon Jun 27 12:54:13 GMT 2022","Mon Jun 27 12:54:13 GMT 2022","950","","TestPortio","","TestPortio","loginWrongPasswordTest","Sikertelen Sign in helytelen passworddel","Bejelentkezés helytelen jelszóval"
"passed","Mon Jun 27 12:54:14 GMT 2022","Mon Jun 27 12:54:15 GMT 2022","1264","","TestPortio","","TestPortio","h3HeadingFontTest","h3 Heading szövegstílus ellenőrzése","Az oldalon konzisztens a  h3 heading-ek szövegstílusa, betűtípusa"
"passed","Mon Jun 27 12:53:35 GMT 2022","Mon Jun 27 12:53:46 GMT 2022","10933","","TestPortio","","TestPortio","loginEmptyTest","Sikertelen Sign in üres adatokkal","Bejelentkezés üres adatokkal"
"passed","Mon Jun 27 12:53:47 GMT 2022","Mon Jun 27 12:53:47 GMT 2022","463","","TestPortio","","TestPortio","termsAndConditionsAcceptTest","Terms and Conditions elfogadása","A Terms and conditions elfogadása"
"passed","Mon Jun 27 12:52:57 GMT 2022","Mon Jun 27 12:53:09 GMT 2022","12834","","TestPortio","","TestPortio","blogTest","Blog oldal lista lapozás ellenőrzése","Blog összes bejegyzés lapozás"
"failed","Mon Jun 27 12:52:53 GMT 2022","Mon Jun 27 12:52:55 GMT 2022","1770","","TestPortio","","TestPortio","registrationEmptyDescriptionTest","Regisztráció Description mező üresen hagyva","Regisztráció helyes adatokkal, a Description mező üresen hagyva"
"failed","Mon Jun 27 12:54:13 GMT 2022","Mon Jun 27 12:54:14 GMT 2022","753","","TestPortio","","TestPortio","registrationEmptyEverythingTest","Regisztráció üres adatokkal","Regisztráció üres adatokkal"
"passed","Mon Jun 27 12:53:46 GMT 2022","Mon Jun 27 12:53:47 GMT 2022","819","","TestPortio","","TestPortio","registrationTest","Regisztráció helyes adatok kitöltésével","Regisztráció az összes adat helyes kitöltésével"
