"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jun 20 07:31:05 GMT 2022","Mon Jun 20 07:31:05 GMT 2022","250","","TestPortio","","TestPortio","termsAndConditionsMainTextTest","termsAndConditionsMainTextTest()",""
"broken","Mon Jun 20 07:31:07 GMT 2022","Mon Jun 20 07:31:07 GMT 2022","173","","TestPortio","","TestPortio","blogTitlesToFileTest","blogTitlesToFileTest()",""
"broken","Mon Jun 20 07:31:06 GMT 2022","Mon Jun 20 07:31:07 GMT 2022","171","","TestPortio","","TestPortio","loginEmptyTest","loginEmptyTest()",""
"broken","Mon Jun 20 07:31:08 GMT 2022","Mon Jun 20 07:31:08 GMT 2022","171","","TestPortio","","TestPortio","loginWrongPasswordTest","loginWrongPasswordTest()",""
"broken","Mon Jun 20 07:31:06 GMT 2022","Mon Jun 20 07:31:06 GMT 2022","167","","TestPortio","","TestPortio","registerMultipleTest","registerMultipleTest()",""
"broken","Mon Jun 20 07:31:07 GMT 2022","Mon Jun 20 07:31:07 GMT 2022","168","","TestPortio","","TestPortio","resumesTest","resumesTest()",""
"broken","Mon Jun 20 07:31:08 GMT 2022","Mon Jun 20 07:31:08 GMT 2022","170","","TestPortio","","TestPortio","logOutTest","logOutTest()",""
"broken","Mon Jun 20 07:31:08 GMT 2022","Mon Jun 20 07:31:08 GMT 2022","184","","TestPortio","","TestPortio","termsAndConditionsExitTest","termsAndConditionsExitTest()",""
"broken","Mon Jun 20 07:31:07 GMT 2022","Mon Jun 20 07:31:07 GMT 2022","168","","TestPortio","","TestPortio","termsAndConditionsAcceptTest","termsAndConditionsAcceptTest()",""
"broken","Mon Jun 20 07:31:08 GMT 2022","Mon Jun 20 07:31:08 GMT 2022","173","","TestPortio","","TestPortio","registrationEmptyEverythingTest","registrationEmptyEverythingTest()",""
"broken","Mon Jun 20 07:31:06 GMT 2022","Mon Jun 20 07:31:06 GMT 2022","169","","TestPortio","","TestPortio","blogTest","blogTest()",""
"broken","Mon Jun 20 07:31:07 GMT 2022","Mon Jun 20 07:31:07 GMT 2022","221","","TestPortio","","TestPortio","registrationTest","registrationTest()",""
"broken","Mon Jun 20 07:31:04 GMT 2022","Mon Jun 20 07:31:05 GMT 2022","1157","","TestPortio","","TestPortio","registrationEmptyDescriptionTest","registrationEmptyDescriptionTest()",""
"broken","Mon Jun 20 07:31:06 GMT 2022","Mon Jun 20 07:31:06 GMT 2022","200","","TestPortio","","TestPortio","navigateTest","navigateTest()","additional info, description"
"broken","Mon Jun 20 07:31:06 GMT 2022","Mon Jun 20 07:31:06 GMT 2022","169","","TestPortio","","TestPortio","loginSuccessfulTest","loginSuccessfulTest()",""
"broken","Mon Jun 20 07:31:07 GMT 2022","Mon Jun 20 07:31:08 GMT 2022","171","","TestPortio","","TestPortio","loginWrongUserTest","loginWrongUserTest()",""
"broken","Mon Jun 20 07:31:05 GMT 2022","Mon Jun 20 07:31:06 GMT 2022","244","","TestPortio","","TestPortio","termsAndConditionsClickToSideTest","termsAndConditionsClickToSideTest()",""
