"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 13:42:30 GMT 2022","Wed Jun 29 13:42:31 GMT 2022","798","","TestBasePage","","TestBasePage","navigateTest","Navigáció az oldalra","Ez a teszt a helyes url címre navigálást fedi le"
"passed","Wed Jun 29 13:42:32 GMT 2022","Wed Jun 29 13:42:34 GMT 2022","1203","","TestBasePage","","TestBasePage","termsAndConditionsExitTest","Terms and Conditions kilépés","A Terms and conditions kilépés gombjának megnyomása"
"passed","Wed Jun 29 13:42:34 GMT 2022","Wed Jun 29 13:42:36 GMT 2022","2756","","TestProfilePage","","TestProfilePage","deleteProfileTest","Profil törlése ellenőrzése","Regisztrált profil törlése az adatbázisból, törlés ellenőrzése"
"passed","Wed Jun 29 13:41:29 GMT 2022","Wed Jun 29 13:41:31 GMT 2022","2121","","TestLoginPage","","TestLoginPage","loginSuccessfulTest","Sikeres Sign in helyes adatokkal","Bejelentkezés a regisztrációnál megadottakkal egyező adatokkal"
"passed","Wed Jun 29 13:41:31 GMT 2022","Wed Jun 29 13:41:43 GMT 2022","11938","","TestLoginPage","","TestLoginPage","loginEmptyTest","Sikertelen Sign in üres adatokkal","Bejelentkezés üres adatokkal"
"passed","Wed Jun 29 13:42:31 GMT 2022","Wed Jun 29 13:42:32 GMT 2022","1269","","TestBasePage","","TestBasePage","termsAndConditionsAcceptTest","Terms and Conditions elfogadása","A Terms and conditions elfogadása"
"passed","Wed Jun 29 13:42:36 GMT 2022","Wed Jun 29 13:42:39 GMT 2022","2499","","TestProfilePage","","TestProfilePage","deleteProfileLogoutTest","Profil törlése automatikus kijelentkezés","Regisztrált profil törlése az adatbázisból, automatikus kijelentkezés ellenőrzése"
"passed","Wed Jun 29 13:42:15 GMT 2022","Wed Jun 29 13:42:29 GMT 2022","13897","","TestBlogPage","","TestBlogPage","blogTitlesToFileTest","Blog oldal tartalom ellenőrzése","Blog összes bejegyzés cím ellenőrzése"
"passed","Wed Jun 29 13:41:02 GMT 2022","Wed Jun 29 13:41:05 GMT 2022","2951","","TestRegisterPage","","TestRegisterPage","registrationEmptyDescriptionTest","Regisztráció Description mező üresen hagyva","Regisztráció helyes adatokkal, a Description mező üresen hagyva"
"passed","Wed Jun 29 13:41:57 GMT 2022","Wed Jun 29 13:42:01 GMT 2022","3942","","TestPortfolioPage","","TestPortfolioPage","portfolioImagesTest","Képek ellenőrzése","Képek ellenőrzése a Work oldalon"
"passed","Wed Jun 29 13:41:55 GMT 2022","Wed Jun 29 13:41:57 GMT 2022","1843","","TestLoginPage","","TestLoginPage","loginWrongPasswordTest","Sikertelen Sign in helytelen passworddel","Bejelentkezés helytelen jelszóval"
"passed","Wed Jun 29 13:41:16 GMT 2022","Wed Jun 29 13:41:17 GMT 2022","1656","","TestRegisterPage","","TestRegisterPage","registrationTest","Regisztráció helyes adatok kitöltésével","Regisztráció az összes adat helyes kitöltésével"
"passed","Wed Jun 29 13:42:01 GMT 2022","Wed Jun 29 13:42:15 GMT 2022","13926","","TestBlogPage","","TestBlogPage","blogTest","Blog oldal lista lapozás ellenőrzése","Blog összes bejegyzés lapozás"
"passed","Wed Jun 29 13:42:30 GMT 2022","Wed Jun 29 13:42:30 GMT 2022","836","","TestBasePage","","TestBasePage","termsAndConditionsClickToSideTest","Terms and conditions ablakon kívül kattintás","Azt teszteli, hogy eltűnik-e a Terms and conditions ablak, ha azon kívülre kattintunk"
"passed","Wed Jun 29 13:41:23 GMT 2022","Wed Jun 29 13:41:29 GMT 2022","5798","","TestLandingPage","","TestLandingPage","h2HeadingFontTest","h2 Heading szövegstílus ellenőrzése","Az oldalon konzisztens a  h2 heading-ek szövegstílusa, betűtípusa"
"passed","Wed Jun 29 13:42:29 GMT 2022","Wed Jun 29 13:42:30 GMT 2022","801","","TestBasePage","","TestBasePage","termsAndConditionsMainTextTest","Terms and Conditions szöveg tartalma","A Terms and conditions szöveg tartalmának ellenőrzése, összehasonlítás egy .txt fájllal"
"failed","Wed Jun 29 13:41:17 GMT 2022","Wed Jun 29 13:41:19 GMT 2022","1626","","TestRegisterPage","","TestRegisterPage","registrationEmptyEverythingTest","Regisztráció üres adatokkal","Regisztráció üres adatokkal"
"passed","Wed Jun 29 13:41:21 GMT 2022","Wed Jun 29 13:41:23 GMT 2022","2405","","TestLandingPage","","TestLandingPage","logOutTest","Logout","Kijelentkezés"
"passed","Wed Jun 29 13:41:19 GMT 2022","Wed Jun 29 13:41:21 GMT 2022","1887","","TestLandingPage","","TestLandingPage","narrowWindowTest","Keskeny nézet ellenőrzés","Keskeny nézetben a navBar hamburger menüre vált"
"passed","Wed Jun 29 13:41:05 GMT 2022","Wed Jun 29 13:41:16 GMT 2022","10857","","TestRegisterPage","","TestRegisterPage","registerMultipleTest","Sorozatos regisztráció","Sorozatos regisztráció fájlból adatokkal"
"passed","Wed Jun 29 13:41:43 GMT 2022","Wed Jun 29 13:41:55 GMT 2022","11857","","TestLoginPage","","TestLoginPage","loginWrongUserTest","Sikertelen Sign in helytelen username-el","Bejelentkezés helytelen felhasználóvévvel"
